name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
formuła (energylandia),"560 m (1,840 ft)",79.2 km/h (49.2 mph),energylandia,operating,25 june 2016,steel – launched,vekoma,120–195[2] cm (3 ft 11 in–6 ft 5 in),space warp launch coaster,24.7 m (81 ft),3.0,lsm,$10 million,2 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,extreme zone,1:30,1200 riders per hour,3.8,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0–100kph (62.1 mph) in 1.2 seconds,single lap bar,das große lego-rennen,2016,40.2898,-76.6536,steel,2016-06-25,79.2 km/h,49.2 mph,79.2,km/h,49.2,24.7,m,81.0,3,3.8,79.179528
krampus expédition,"1,968.5 ft (600.0 m)",49 mph (79 km/h),nigloland,operating,"june 12, 2021; 5 months ago",steel,mack rides,110 cm (3 ft 7 in),water coaster,91.9 ft (28.0 m),0.0,chain lift hill,"€12,000,000",6 trains with a single car. riders are arranged 2 across in 4 rows for a total of 8 riders per train.,the swiss village,4:00,850 riders per hour,3.5,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,grand roue,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,krampus,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2021,-48.2617,4.6142,steel,2021-06-12,49 mph,79 km/h,49.0,mph,49.0,91.9,ft,91.2,0,3.5,78.85766
mine blower,"2,290 ft (700 m)",48.5 mph (78.1 km/h),fun spot america (kissimmee),operating,"june 23, 2017",wood,the gravity group,48 in (122 cm),boomerang,83 ft (25 m),1.0,chain lift hill,"$6,000,000",2 trains with 6 cars. riders are arranged 2 across in a single row for a total of 12 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,65°,80.5 ft (24.5 m),"april 29, 2005",fast lane available,go-karts[1],twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2017,40.2898,-76.6536,wood,2017-06-23,48.5 mph,78.1 km/h,48.5,mph,48.5,83.0,ft,91.2,1,4.0,78.05299
f.l.y. (roller coaster),"4,055.1 ft (1,236.0 m)",48.5 mph (78.1 km/h),phantasialand,operating,1972,steel – flying – launched,vekoma,130 cm (4 ft 3 in),boomerang,70 ft (21 m),2.0,lsm launch,$10 million,4 trains with 10 cars. riders are arranged 2 across in a single row for a total of 20 riders per train.,berlin - rookburgh,1:30,1400 riders per hour,4,werner stengel,90°,100 ft (30 m),"september 17, 2020",fast lane available,race for atlantis,twister,fastrack available,"september 17, 2020","september 16, 2007",1895,the joker,official site,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2020,50.7999,6.8792,steel,1999-01-01,48.5 mph,78.1 km/h,48.5,mph,48.5,79.0,ft,91.2,2,4.0,78.05299
diavlo,"2,606 ft (794 m)",48.5 mph (78.1 km/h),himeji central park,operating,july 1994,steel – inverted,bolliger & mabillard,48 in (122 cm),inverted coaster (batman),108.25 ft (32.99 m),5.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:48,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1994,34.8755,134.7637,steel,1994-07-01,48.5 mph,78.1 km/h,48.5,mph,48.5,108.25,ft,91.2,5,4.0,78.05299
corkscrew (cedar point),"2,050 ft (620 m)",48 mph (77 km/h),cedar point,operating,"may 15, 1976",steel,arrow development,48 in (122 cm),custom looping coaster,85 ft (26 m),3.0,chain lift hill,"$1,750,000 usd",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,gemini midway,2:00,"1,800 riders per hour",4,ron toomer,45°,65 ft (20 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1976,41.4836,-82.6853,steel,1976-05-15,48 mph,77 km/h,48.0,mph,48.0,85.0,ft,91.2,3,4.0,77.24832
thunderbird (powerpark),"2,713 ft (827 m)",48 mph (77 km/h),powerpark,operating,29 april 2006,wood,great coasters international,130 cm (4 ft 3 in),boomerang,82 ft (25 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:33,1200 riders per hour,4,werner stengel,90°,80 ft (24 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister roller coaster,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2006,63.2306,22.8579,wood,2006-04-29,48 mph,77 km/h,48.0,mph,48.0,82.0,ft,91.2,0,4.0,77.24832
cobra (la ronde),"2,575 ft (785 m)",48 mph (77 km/h),other,operating,1972,steel – stand-up,intamin,54 in (137 cm),stand-up roller coaster,87 ft (27 m),1.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,87 ft (27 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1995,40.2898,-76.6536,steel,1999-01-01,48 mph,77 km/h,48.0,mph,48.0,87.0,ft,91.2,1,4.0,77.24832
big bad wolf (roller coaster),"2,800 ft (850 m)",48 mph (77 km/h),busch gardens williamsburg,removed,"june 15, 1984",steel – suspended,arrow dynamics,42 in (107 cm),suspended roller coaster,113 ft (34 m),0.0,chain lift hill,"$6,000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,oktoberfest,3:00,1200 riders per hour,4.0,ron toomer,90°,99 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 7, 2009",1895,verbolten,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1984,37.2335,-76.6449,steel,1984-06-15,48 mph,77 km/h,48.0,mph,48.0,113.0,ft,91.2,0,4.0,77.24832
outlaw (roller coaster),"2,800 ft (850 m)",48 mph (77 km/h),adventureland (iowa),operating,"april 24, 1993[1]",wood,custom coasters international,42 in (107 cm),boomerang,67 ft (20 m),0.0,chain-lift,"us$2,000,000[1]",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,outlaw gulch,2 minutes,1200 riders per hour,3.2[2],werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1993,41.6491,-93.5006,wood,1993-04-24,48 mph,77 km/h,48.0,mph,48.0,67.0,ft,91.2,0,3.2,77.24832
invadr,"2,118 ft (646 m)",48 mph (77 km/h),busch gardens williamsburg,operating,"april 7, 2017",wood,great coasters international,46 in (117 cm),boomerang,60 ft (18 m),0.0,chain lift hill,$10 million,2 trains with 8 cars. riders are arranged 2 across in a single row for a total of 16 riders per train.,new france,1:30,1200 riders per hour,4,"jeff pikeskyline design, llc",90°,74 ft (23 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,lap bar,das große lego-rennen,2017,37.2325,-76.6486,wood,2017-04-07,48 mph,77 km/h,48.0,mph,48.0,60.0,ft,91.2,0,4.0,77.24832
viper (six flags great adventure),"1,670 ft (510 m)",48 mph (77 km/h),six flags great adventure,removed,"june 2, 1995",steel,togo,54 in (137 cm),sitdown looping,88.6 ft (27.0 m),2.0,chain lift hill,$4 million,3 trains with 4 cars. riders are arranged 2 across in 2 rows for a total of 16 riders per train.,frontier adventures,2:24,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,ultra twister,twister,fastrack available,"april 29, 2005","september 6, 2004",1895,el toro,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1995,40.139,-74.435,steel,1995-06-02,48 mph,77 km/h,48.0,mph,48.0,88.6,ft,91.2,2,4.0,77.24832
megafobia,"2,956 ft (901 m)",48 mph (77 km/h),oakwood theme park,operating,30 april 1996,wood,custom coasters international,120 cm (3 ft 11 in),boomerang,85 ft (26 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:40,1200 riders per hour,2.75,"john wardley, dennis mcnulty, larry bill",55°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,+2.75g (25 m/s),single lap bar,das große lego-rennen,1996,51.7807,-4.8056,wood,1996-04-30,48 mph,77 km/h,48.0,mph,48.0,85.0,ft,91.2,0,2.75,77.24832
cobra (la ronde),"2,575 ft (785 m)",48 mph (77 km/h),other,operating,1972,steel – stand-up,intamin,54 in (137 cm),stand-up roller coaster,87 ft (27 m),1.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,87 ft (27 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1988,40.2898,-76.6536,steel,1999-01-01,48 mph,77 km/h,48.0,mph,48.0,87.0,ft,91.2,1,4.0,77.24832
thunderation,"3,022 ft (921 m)",48 mph (77 km/h),silver dollar city,operating,"april 10, 1993",steel – mine train,arrow dynamics,42 in (107 cm),mine train,81 ft (25 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 3 rows for a total of 36 riders per train.,planet snoopy,2:10,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1993,36.6684,-93.3379,steel,1993-04-10,48 mph,77 km/h,48.0,mph,48.0,81.0,ft,91.2,0,4.0,77.24832
giant dipper (belmont park),"2,600 ft (790 m)",48 mph (77 km/h),other,operating,"july 4, 1925",wood,"frank prior, fredrick church",50 in (127 cm),twister,70 ft (21 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:45,1200 riders per hour,4,"frank prior, fredrick church",40 degrees at bottom of first drop°,60 ft (18 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,"8 layers laminated wood strips with 1/4""x3"" wide steel rail",fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1925,40.2898,-76.6536,wood,1925-07-04,48 mph,77 km/h,48.0,mph,48.0,70.0,ft,91.2,0,4.0,77.24832
wildcat (lake compounce),"2,746 ft (837 m)",48 mph (77 km/h),lake compounce,operating,1927,wood – out and back,philadelphia toboggan coasters,48 in (122 cm),boomerang,85 ft (26 m),0.0,chain lift hill,$10 million,2 trains with 7 cars. riders are arranged 2 across in a single row for a total of 14 riders per train.,planet snoopy,1:15,1200 riders per hour,4,herbert paul schmeck and dinn corporation,90°,78 ft (24 m),"april 29, 2005",fast lane available,green dragon,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1927,41.6408,-72.9231,wood,1927-01-01,48 mph,77 km/h,48.0,mph,48.0,85.0,ft,91.2,0,4.0,77.24832
american thunder (roller coaster),"2,713 ft (827 m)",48 mph (77 km/h),six flags st. louis,operating,"june 20, 2008",wood,great coasters international,48 in (122 cm),boomerang,82 ft (25 m),0.0,chain lift hill,"us$7,000,000",2 trains with 12 cars. riders are arranged 2 across in a single row for a total of 24 riders per train.,1904 world's fair,1:30,850 riders per hour,4,werner stengel,90°,80 ft (24 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2008,38.5125,-90.6772,wood,2008-06-20,48 mph,77 km/h,48.0,mph,48.0,82.0,ft,91.2,0,4.0,77.24832
viper (six flags astroworld),"1,942 ft (592 m)",47.8 mph (76.9 km/h),other,operating,1972,steel,anton schwarzkopf,42 in (107 cm),looping star,80 ft (24 m),1.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1700 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,custom,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1989,40.2898,-76.6536,steel,1999-01-01,47.8 mph,76.9 km/h,47.8,mph,47.8,80.0,ft,91.2,1,4.0,76.926452
sandy's blasting bronco,"1,607.6 ft (490.0 m)",47.8 mph (76.9 km/h),nickelodeon universe,operating,"october 1, 2020; 13 months ago",steel – launched – indoor,intamin,52 in (132 cm),boomerang,85.3 ft (26.0 m),4.0,linear motor launch,$10 million,single train with 3 cars. riders are arranged 2 across in 2 rows for a total of 12 riders per train.,planet snoopy,1:40,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2020,40.8056,-74.071,steel,2020-10-01,47.8 mph,76.9 km/h,47.8,mph,47.8,85.3,ft,91.2,4,4.0,76.926452
dæmonen,"564 m (1,850 ft)",77 km/h (48 mph),tivoli gardens,operating,16 april 2004,steel – floorless coaster,bolliger & mabillard,132 cm (4 ft 4 in),floorless coaster,28 m (92 ft),3.0,chain lift hill,75 million dkk (€10 m),2 trains with 6 cars. riders are arranged 4 across in a single row for a total of 24 riders per train.,planet snoopy,1:46,"1,200 riders per hour",4,werner stengel,90°,20 m (66 ft),"april 29, 2005",fast lane available,slangen,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2004,55.6728,12.5703,steel,2004-04-16,77 km/h,48 mph,77.0,km/h,47.8,28.0,m,91.9,3,4.0,76.926452
silver bullet (frontier city),"1,942 ft (592 m)",47.8 mph (76.9 km/h),other,operating,1972,steel,anton schwarzkopf,42 in (107 cm),looping star,80 ft (24 m),1.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1700 riders per hour,4,werner stengel,90°,75 ft (23 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,custom,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1986,40.2898,-76.6536,steel,1999-01-01,47.8 mph,76.9 km/h,47.8,mph,47.8,80.0,ft,91.2,1,4.0,76.926452
boomerang: coast to coaster,935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – shuttle – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,"$5, 000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,vekoma,65°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1998,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
sea serpent (morey's piers),935 ft (285 m),47 mph (76 km/h),morey's piers,operating,1984,steel – shuttle,vekoma,48 in (122 cm),boomerang,125 ft (38 m),3.0,cable lift hill,"$1,500,000 usd",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,mariner's landing pier,1:48,760 riders per hour,5.2,vekoma,90°,116.5 ft (35.5 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,boomerang,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1984,38.9858,-74.8097,steel,1984-01-01,47 mph,76 km/h,47.0,mph,47.0,125.0,ft,91.2,3,5.2,75.63898
boomerang (six flags méxico),935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,$10 million,single train with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,hollywood,1:48,760 riders per hour,5.2,arrow dynamics,65°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",1986,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1988,19.2934,-99.2078,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
boomerang: coast to coaster,935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – shuttle – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,"$5, 000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,vekoma,65°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
boomerang: coast to coaster,935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – shuttle – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,"$5, 000,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,vekoma,65°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1999,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
zoomerang (lake compounce),935 ft (285 m),47 mph (76 km/h),lake compounce,operating,"june 27, 1997",steel – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,vekoma,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1997,41.643,-72.9229,steel,1997-06-27,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
boomerang (roller coaster),285 m (935 ft),47 mph (76 km/h),other,in production,1972,other,vekoma,48 in (122 cm),boomerang,35.51 m (116.5 ft),6.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,about 1 min 48 sec,760 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1984,40.2898,-76.6536,other,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,35.51,m,116.5,6,4.0,75.63898
flashback (six flags new england),935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – shuttle,vekoma,48 in (122 cm),boomerang,117 ft (36 m),3.0,chain,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,north end,1:48,760 riders per hour,5.2,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1990,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,117.0,ft,91.2,3,5.2,75.63898
boomerang (six flags st. louis),935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – boomerang – shuttle,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,$10 million,single train with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,werner stengel,65°,108 ft (33 m),"april 29, 2005",fast lane available,water street cab company,twister,fastrack available,"april 29, 2005","september 3, 2012",1895,texas skyscreamer,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2013,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
flashback (six flags over texas),935 ft (285 m),47 mph (76 km/h),other,operating,1972,steel – boomerang – shuttle,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),3.0,chain lift hill,$10 million,single train with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,werner stengel,65°,108 ft (33 m),"april 29, 2005",fast lane available,water street cab company,twister,fastrack available,"april 29, 2005","september 3, 2012",1895,texas skyscreamer,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1989,40.2898,-76.6536,steel,1999-01-01,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,3,5.2,75.63898
sidewinder (hersheypark),935 ft (285 m),47 mph (76 km/h),hersheypark,operating,"may 11, 1991",steel – shuttle – boomerang,vekoma,48 in (122 cm),boomerang,116.5 ft (35.5 m),6.0,cable and chain lift hill on both towers,$10 million,single train with 7 cars. riders are arranged 2 across in 2 rows for a total of 28 riders per train.,planet snoopy,1:48,760 riders per hour,5.2,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1991,40.2899,-76.6538,steel,1991-05-11,47 mph,76 km/h,47.0,mph,47.0,116.5,ft,91.2,6,5.2,75.63898
space shuttle (roller coaster),935 ft (285 m),47 mph (76 km/h),enchanted kingdom,operating,"july 28, 1995",steel – shuttle – boomerang,vekoma,48 in (122 cm),boomerang,116.6 ft (35.5 m),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,spaceport,1:48,760 riders per hour,5.2,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1995,14.2819,121.0954,steel,1995-07-28,47 mph,76 km/h,47.0,mph,47.0,116.6,ft,91.2,3,5.2,75.63898
